Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
01.txt,1,14312,97.63,50.39,18.29,26.23,16.62,30.95,61.70,35.30,2.48,0.42,0.06,0.00,0.00,0.01,0.35,2.06,9.52,12.32,3.77,1.80,5.58,0.83,6.45,2.67,1.66,0.63,9.78,1.26,1.38,0.43,0.41,0.01,0.13,0.07,3.79,0.03,0.00,0.22,0.01,13.03,5.32,5.06,0.47,1.40,0.37,2.80,5.37,4.35,0.55,0.15,0.39,0.23,0.05,0.00,0.10,3.04,0.60,1.13,1.00,0.54,0.35,3.15,2.56,0.50,7.87,0.65,5.51,1.73,2.15,0.20,0.04,0.12,0.00,0.00,0.34,0.00,0.34,0.06,0.01,0.00,25.95,7.14,9.38,0.32,0.55,0.03,0.00,0.59,0.22,0.10,6.57,1.03
02.txt,1,5106,95.96,52.43,13.33,41.34,18.70,28.79,62.89,36.45,3.49,1.23,0.22,0.43,0.10,0.06,0.43,2.25,8.50,12.51,5.25,2.72,4.82,0.78,8.03,3.94,2.41,0.51,9.64,2.19,2.33,1.57,0.71,0.02,0.24,0.35,3.54,0.04,0.55,0.16,0.04,11.69,3.27,4.33,0.59,1.82,0.98,2.47,1.49,1.10,0.04,0.06,0.20,0.04,0.16,0.00,0.00,4.37,1.37,1.14,1.74,0.65,0.27,2.90,4.00,1.21,9.03,0.43,5.21,3.27,5.13,0.12,0.55,0.16,0.02,0.00,0.27,0.00,0.25,0.02,0.02,0.00,29.38,6.35,7.46,0.72,0.61,0.04,0.65,1.45,1.02,0.27,6.35,4.47
03.txt,1,16706,97.35,50.24,21.46,25.10,16.67,27.21,59.50,32.78,3.08,0.59,0.02,0.35,0.03,0.00,0.19,2.49,7.89,12.43,3.84,1.63,4.35,0.74,6.32,4.58,2.56,0.53,12.13,1.63,1.69,0.82,0.86,0.06,0.02,0.47,2.73,0.03,0.01,0.31,0.00,11.50,4.37,3.33,0.56,1.26,0.91,2.29,1.08,0.45,0.04,0.18,0.11,0.07,0.04,0.01,0.00,5.24,0.97,1.44,2.62,0.18,0.26,2.48,2.51,0.26,10.13,0.64,6.24,3.10,4.19,0.01,0.04,0.97,0.02,0.01,0.44,0.00,0.40,0.11,0.01,0.00,27.52,7.54,10.37,0.54,0.44,0.04,0.00,1.51,0.06,0.04,5.79,1.20
04.txt,1,5713,95.54,45.81,21.82,36.55,14.18,32.33,64.40,34.80,3.80,0.67,0.02,0.23,0.04,0.00,0.39,3.13,6.55,13.20,5.02,2.31,4.39,0.89,9.24,4.46,2.98,0.56,8.47,1.91,2.47,1.54,0.93,0.51,0.04,0.21,2.66,0.02,0.00,0.04,0.02,13.32,6.06,3.15,0.88,2.21,0.65,3.01,0.56,0.33,0.04,0.05,0.05,0.00,0.00,0.00,0.05,5.99,0.60,2.71,1.68,0.89,0.77,3.29,4.88,0.60,8.12,1.05,3.40,3.99,5.16,0.02,0.00,0.19,0.00,0.00,2.12,0.05,2.03,0.09,0.04,0.00,28.79,8.75,9.85,0.84,0.37,0.02,0.00,2.38,0.04,0.04,4.87,1.65
05.txt,1,5370,95.77,44.08,27.29,40.13,16.57,29.68,69.59,41.04,4.43,0.69,0.06,0.28,0.00,0.04,0.32,3.74,8.49,14.66,6.05,2.36,5.87,0.76,8.58,6.03,4.75,0.97,5.51,1.60,2.09,1.43,0.63,0.17,0.20,0.13,2.25,0.00,0.15,0.15,0.00,13.74,3.80,5.05,0.52,1.94,0.86,3.20,3.24,1.02,0.00,0.15,0.13,0.02,0.04,0.00,0.07,2.98,0.43,1.04,0.91,0.69,0.43,3.54,3.82,0.97,10.88,0.78,6.98,3.04,5.07,0.09,0.04,0.47,0.00,0.00,0.80,0.00,0.74,0.04,0.06,0.00,21.14,6.69,7.02,0.54,0.34,0.02,0.00,0.24,0.04,0.26,4.99,1.01
06.txt,1,13686,95.83,53.13,24.67,23.37,16.67,26.48,65.53,37.29,3.97,0.72,0.03,0.38,0.01,0.01,0.28,3.24,7.63,13.63,5.46,2.14,5.31,0.61,7.95,4.75,2.61,0.68,7.64,2.36,2.62,1.23,1.38,0.44,0.08,0.74,3.38,0.01,0.00,0.30,0.01,13.29,5.37,3.65,0.53,1.39,1.25,2.34,1.33,0.61,0.34,0.09,0.22,0.10,0.04,0.01,0.08,4.40,1.18,0.46,2.13,0.42,0.50,3.13,4.30,0.83,9.70,0.80,5.18,3.92,2.44,0.15,0.01,0.30,0.00,0.07,1.40,0.01,1.26,0.61,0.09,0.00,26.55,7.60,8.85,0.63,0.72,0.06,0.00,0.67,0.23,0.37,6.26,1.17
07.txt,1,7248,97.45,45.12,25.22,26.23,14.53,29.42,63.62,34.98,3.06,0.68,0.28,0.14,0.01,0.00,0.25,2.39,9.12,12.38,3.90,1.93,4.99,0.68,6.51,6.42,4.21,0.65,9.00,2.43,1.55,0.79,0.76,0.03,0.06,0.47,2.52,0.00,0.01,0.00,0.00,12.96,4.28,3.48,0.69,2.64,1.02,2.95,1.49,1.17,0.18,0.04,0.30,0.04,0.12,0.00,0.14,4.13,0.58,1.42,1.99,0.43,0.22,2.18,3.73,0.58,10.18,0.79,7.27,2.06,3.30,0.18,0.04,0.40,0.03,0.03,0.40,0.00,0.33,0.03,0.07,0.00,25.61,7.86,8.14,0.63,0.48,0.10,0.23,0.94,0.37,0.26,4.97,1.61
08.txt,1,17252,95.19,54.14,21.81,35.17,17.69,32.49,68.25,37.04,4.85,1.28,0.04,0.53,0.11,0.01,0.60,3.57,8.34,12.62,4.53,2.77,5.25,0.75,8.52,3.74,2.82,1.18,7.56,1.51,1.37,0.93,0.39,0.06,0.05,0.14,4.54,0.05,0.01,0.02,0.04,20.11,7.36,6.56,0.91,2.59,0.90,3.34,1.09,0.62,0.05,0.17,1.22,0.11,0.99,0.06,0.05,4.79,0.97,0.60,2.90,0.34,0.30,4.73,3.89,1.03,6.50,0.30,3.79,2.40,4.68,0.06,0.01,0.65,0.04,0.01,0.43,0.00,0.37,0.13,0.04,0.00,26.33,7.51,8.54,0.57,0.38,0.08,0.00,1.79,0.34,0.36,5.45,1.32
10.txt,1,6626,98.14,51.03,18.63,38.95,18.01,30.65,64.49,36.69,3.15,0.88,0.02,0.39,0.20,0.00,0.27,2.28,9.24,14.25,4.35,1.78,4.90,0.51,6.52,8.41,6.32,0.77,9.54,1.69,1.48,1.03,0.29,0.03,0.08,0.02,3.98,0.02,0.00,0.20,0.02,11.00,2.88,3.18,0.59,1.36,0.44,3.79,1.13,0.77,0.08,0.06,0.74,0.00,0.74,0.00,0.00,3.37,0.91,0.57,1.66,0.33,0.08,3.12,3.31,0.32,9.55,0.75,6.64,2.28,3.74,0.32,0.03,0.18,0.02,0.00,1.36,0.00,0.85,0.47,0.63,0.00,24.86,6.50,9.42,0.41,0.15,0.02,0.00,1.37,0.60,0.27,5.22,0.89
104.txt,1,3289,95.30,59.97,34.68,57.39,18.07,30.53,68.71,36.61,4.68,1.58,0.03,0.79,0.18,0.03,0.55,3.10,7.05,13.68,5.17,2.22,5.20,0.49,8.57,6.29,4.65,1.19,8.36,2.28,2.37,2.01,0.33,0.00,0.00,0.00,4.65,0.00,0.06,0.00,0.03,12.86,4.01,3.74,1.52,2.25,0.30,2.58,2.86,1.00,0.06,0.30,0.61,0.00,0.40,0.00,0.24,4.29,1.16,1.25,1.61,0.85,0.40,2.86,3.98,1.28,13.56,1.37,7.21,5.14,4.01,0.03,0.00,0.76,0.03,0.00,0.27,0.00,0.24,0.09,0.00,0.00,26.06,6.75,8.00,0.94,0.12,0.12,0.00,0.70,0.67,0.21,5.26,3.28
106.txt,1,5684,94.95,63.83,36.28,28.41,19.74,28.33,67.54,37.17,5.08,1.95,0.16,0.74,0.14,0.04,0.88,3.13,8.25,12.32,3.98,2.29,5.98,0.77,7.51,4.87,2.83,1.11,8.78,1.62,1.27,0.63,0.48,0.05,0.07,0.23,6.95,0.07,0.02,0.16,0.00,11.66,2.90,2.64,0.48,2.16,1.37,3.34,3.47,2.69,0.37,0.28,0.32,0.12,0.12,0.00,0.07,4.70,1.25,0.91,3.01,0.19,0.18,4.24,2.89,0.58,13.00,0.60,9.20,3.25,3.31,0.23,0.04,0.11,0.04,0.00,0.46,0.02,0.35,0.04,0.09,0.00,30.61,7.02,9.71,0.62,0.33,0.14,0.04,1.14,1.46,1.95,5.47,2.73
